title,series,rating,language,genres,bookFormat,pages,publisher,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Rating,Num_Customers_Rated,Price
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Heaven is For Real,4.02,English,"['Nonfiction', 'Christian', 'Religion', 'Inspirational', 'Spirituality', 'Memoir', 'Biography', 'Faith', 'Christianity', 'Christian Non Fiction']",Paperback,162,Thomas Nelson,[],276970,"['121313', '77785', '49855', '16966', '11051']",90.0,[],2012,Todd Burpo,4.7,16129,7.54
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,,3.93,English,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Politics', 'Biography Memoir', 'Sociology', 'History', 'Autobiography', 'Book Club']",Hardcover,257,Harper,"['Audie Award for Nonfiction (2017)', 'Ohioana Book Award for About Ohio or an Ohioan (2017)', 'Kirkus Prize Nominee for Nonfiction (2016)', 'Goodreads Choice Award Nominee for Memoir & Autobiography (2016)']",302052,"['92226', '122846', '65341', '16023', '5616']",93.0,"['Middletown, Ohio (United States)', 'New Haven, Connecticut (United States)', 'Jackson, Kentucky (United States)']",2017,J. D. Vance,4.4,19318,2.75
Hotel on the Corner of Bitter and Sweet,,4.02,English,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'World War II', 'Book Club', 'Adult Fiction', 'War', 'Adult', 'Audiobook']",Hardcover,290,Ballantine Books,"['Montana Book Award (2009)', 'Goodreads Choice Award Nominee for Fiction (2009)', ""David J. Langum Sr. Prize Nominee for American Historical Fiction  (Director's Mention) (2009)"", 'Asian/Pacific American Award for Literature for Adult Fiction (2009)']",262877,"['87460', '109281', '52410', '10819', '2907']",95.0,"['Seattle, Washington (United States)', 'Puyallup, Washington (United States)', 'Minidoka, Idaho (United States)', 'Washington (state) (United States)']",2010,Jamie Ford,4.6,4464,13.14
Humans,Neanderthal Parallax #2,3.82,English,"['Science Fiction', 'Fiction', 'Science Fiction Fantasy', 'Fantasy', 'Canada', 'Alternate History', 'Audiobook', 'Alternate Universe', 'Romance', 'Speculative Fiction']",Paperback,352,Tor Books,['Hugo Award Nominee for Best Novel (2004)'],5412,"['1436', '2138', '1387', '343', '108']",92.0,"['Toronto, Ontario (Canada)']",2020,Brandon Stanton,4.9,7099,17.5
Humans of New York,,4.48,English,"['Nonfiction', 'Photography', 'Art', 'New York', 'Adult', 'Biography', 'Travel', 'Art and Photography', 'Inspirational', 'American']",Hardcover,304,St. Martin's Press,[],16332,"['10258', '4251', '1442', '248', '133']",98.0,['New York State (United States)'],2014,Brandon Stanton,4.8,4078,22.16
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",,4.15,English,"['Humor', 'Nonfiction', 'Graphic Novels', 'Memoir', 'Comics', 'Comedy', 'Biography', 'Mental Health', 'Adult', 'Short Stories']",Paperback,371,Gallery Books,['Goodreads Choice Award for Humor (2013)'],176611,"['85695', '52536', '24004', '8050', '6326']",92.0,[],2013,Allie Brosh,4.7,5891,5.63
If I Stay,If I Stay #1,3.94,English,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Teen', 'Music', 'Death', 'Audiobook', 'Young Adult Contemporary']",Hardcover,201,Dutton Books for Young Readers,"['Georgia Peach Book Award Nominee for Honor book (2010)', 'South Carolina Book Award Nominee for Young Adult Book Award (2011)', 'Blue Hen Book Award for Teen Readers (2011)', ""Pennsylvania Young Readers' Choice Award Nominee (2011)"", 'Milwaukee County Teen Book Award Nominee (2010)', 'Florida Teens Read Nominee (2010)', 'The Inky Awards Nominee for Silver Inky (2009)', 'California Young Readers Medal Nominee for Young Adult (2012)', 'Lincoln Award Nominee (2012)', ""NAIBA Book of the Year for Children's Literature (2009)"", 'Goodreads Choice Award Nominee for Young Adult Fiction (2009)', 'Carnegie Medal Nominee (2010)', 'Missouri Gateway Readers Award Nominee (2012)']",712350,"['257068', '237108', '155491', '45192', '17491']",91.0,"['United States of America', 'Oregon (United States)']",2014,Gayle Forman,4.3,8339,0.25
In Defense of Food: An Eater's Manifesto,,4.08,English,"['Nonfiction', 'Food', 'Health', 'Science', 'Nutrition', 'Audiobook', 'Cooking', 'Environment', 'Foodie', 'Sustainability']",Hardcover,205,Penguin Press,[],102455,"['36595', '42545', '19031', '3282', '1002']",96.0,[],2010,Michael Pollan,4.6,1884,13.69
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",,3.85,English,"['History', 'Nonfiction', 'World War II', 'Historical', 'Biography', 'Germany', 'War', 'Audiobook', 'Holocaust', 'Politics']",Hardcover,448,Crown,"['Washington State Book Award for History/General Nonfiction (2012)', 'Chautauqua Prize Nominee (2012)', 'Goodreads Choice Award Nominee for History & Biography (2011)']",160937,"['42308', '66285', '40355', '9310', '2679']",93.0,['Berlin (Germany)'],2011,Eric Larson,4.5,5157,29.89
Inferno,Star Trek: Deep Space Nine: Millenium #3,3.89,English,"['Star Trek', 'Science Fiction', 'Star Trek Deep Space Nine', 'Fiction', 'Media Tie In', 'Time Travel', 'Science Fiction Fantasy', 'Fantasy', 'Space']",Mass Market Paperback,410,Pocket Books,[],404,"['131', '138', '99', '30', '6']",91.0,[],2013,Dan Brown,4.1,30849,14.75
Just Mercy: A Story of Justice and Redemption,,4.6,English,"['Nonfiction', 'Memoir', 'Social Justice', 'Race', 'Politics', 'History', 'Audiobook', 'Law', 'Biography', 'Anti Racist']",Hardcover,336,Spiegel & Grau,"['Warwick Prize for Writing Nominee for Longlist (2015)', 'Dayton Literary Peace Prize for Non-Fiction (2015)', 'NAIBA Book of the Year for Nonfiction (2015)', 'Andrew Carnegie Medal for Nonfiction (2015)', 'Kirkus Prize Nominee for Nonfiction (Finalist) (2014)', 'Alabama Author Award for Nonfiction (2016)']",143058,"['101156', '31163', '7081', '2050', '1608']",97.0,['Alabama (United States)'],2020,Bryan Stevenson,4.8,15340,3.04
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,,4.07,English,"['Nonfiction', 'History', 'True Crime', 'Crime', 'Mystery', 'Audiobook', 'Historical', 'American History', 'Book Club', 'Adult']",ebook,359,Doubleday,"['Anthony Award for Best Critical/NonFiction Work (2018)', 'Edgar Award for Best Fact Crime (2018)', 'Andrew Carnegie Medal Nominee for Nonfiction (2018)', 'National Book Award Finalist for Nonfiction (2017)', 'Spur Award for Best Western Historical Nonfiction (2018)', 'Goodreads Choice Award Nominee for History & Biography (2017)', 'Brooklyn Public Library Literary Prize Nominee for Nonfiction (2017)']",127328,"['45279', '54209', '21634', '4328', '1878']",95.0,[],2017,David Grann,4.6,10461,15.81
Killing Kennedy: The End of Camelot,Bill O'Reilly's Killing Series,4.07,English,"['History', 'Nonfiction', 'Biography', 'Historical', 'Politics', 'American History', 'Audiobook', 'Presidents', 'True Crime', 'Biography Memoir']",Hardcover,325,Henry Holt and Co.,['Goodreads Choice Award Nominee for History & Biography (2012)'],49770,"['18482', '20237', '8260', '1717', '1074']",94.0,[],2012,Bill O'Reilly,4.6,8933,19.82
"Lean In: Women, Work, and the Will to Lead",,3.95,English,"['Nonfiction', 'Business', 'Feminism', 'Self Help', 'Leadership', 'Womens', 'Audiobook', 'Memoir', 'Biography', 'Personal Development']",Hardcover,217,Knopf,"['Financial Times and McKinsey Business Book of the Year Nominee for Shortlist (2013)', ""CMI Management Book of the Year Awards Nominee for The Commuter's Read (2014)"", 'Goodreads Choice Award Nominee for Nonfiction (2013)']",222376,"['76503', '82838', '44746', '11714', '6575']",92.0,[],2014,Sheryl Sandberg,4.5,6611,0.99
Leonardo da Vinci,,4.14,English,"['Biography', 'Nonfiction', 'History', 'Art', 'Science', 'Biography Memoir', 'Audiobook', 'Italy', 'Historical', 'Art History']",Hardcover,600,Simon & Schuster,"['Andrew Carnegie Medal Nominee for Nonfiction (2018)', 'Goodreads Choice Award Nominee for History & Biography (2017)']",61546,"['28621', '19782', '8552', '2596', '1995']",93.0,[],2017,Walter Isaacson,4.5,3730,3.22
Life,,3.87,English,"['Music', 'Biography', 'Nonfiction', 'Memoir', 'Autobiography', 'Biography Memoir', 'Audiobook', 'History', 'Rock N Roll', 'Pop Culture']",Hardcover,564,Weidenfeld & Nicolson,['Audie Award for Audiobook of the Year (2011)'],82104,"['26771', '29310', '17505', '5484', '3034']",90.0,[],2010,Keith Richards,4.5,3153,20.49
Little Fires Everywhere,,4.1,English,"['Fiction', 'Contemporary', 'Audiobook', 'Adult', 'Adult Fiction', 'Literary Fiction', 'Book Club', 'Novels', 'Family', 'Realistic Fiction']",Paperback,368,Penguin Books,"['Goodreads Choice Award for Fiction (2017) and Nominee for Best of the Best  (2018)', 'NAACP Image Award Nominee for Fiction (2018)', 'Book of the Month Book of the Year Award Nominee (2017)']",712854,"['250439', '315159', '119443', '21545', '6268']",96.0,"['Cleveland, Ohio (United States)', 'Shaker Heights, Ohio (United States)', 'Ohio (United States)', 'Pittsburgh, Pennsylvania (United States)']",2018,Celeste Ng,4.5,38284,12.74
Looking for Alaska,,4.02,English,"['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Realistic Fiction', 'Coming Of Age', 'Teen', 'Mystery', 'Young Adult Contemporary', 'High School']",Paperback,221,Speak,"['Los Angeles Times Book Prize Nominee for Young Adult Fiction (2005)', 'Michael L. Printz Award (2006)', 'Rhode Island Teen Book Award Nominee (2007)', 'Michigan Library Association Thumbs Up! Award Nominee (2006)', 'Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2008)', 'The Inky Awards for Silver Inky (2007)', 'Lincoln Award Nominee (2009)', 'Bronzener Lufti (2007)', 'Green Mountain Book Award (2008)', 'The Inky Awards Shortlist for Silver Inky (2007)', 'Alabama Author Award for Young Adult (2006)', 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2014)']",1113222,"['455206', '350955', '210930', '68230', '27901']",91.0,['Alabama (United States)'],2014,John Green,4.6,10010,0.35
Lord of the Flies,,3.69,English,"['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School', 'Novels', 'High School', 'Adventure']",Paperback,182,Penguin Books,[],2263259,"['617568', '763438', '555614', '205804', '120835']",86.0,[],2015,William Golding,4.6,15856,0.94
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",,3.6,English,"['Nonfiction', 'Theology', 'Religion', 'Christian', 'Christianity', 'Spirituality', 'Faith', 'Philosophy', 'Christian Living', 'Audiobook']",Kindle Edition,243,HarperOne,[],24235,"['7182', '7433', '4944', '2090', '2586']",81.0,[],2011,Rob Bell,4.3,1780,19.96
Love You Forever,,4.36,English,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Family', 'Love', 'Kids', 'Realistic Fiction', 'Canada', 'Juvenile']",Paperback,32,Firefly Books,[],202401,"['130795', '35789', '20450', '7789', '7578']",92.0,[],2020,Robert Munsch,4.9,26363,0.25
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,,3.99,English,"['Nonfiction', 'Self Help', 'Personal Development', 'Audiobook', 'Leadership', 'Business', 'Military Fiction', 'Memoir', 'Psychology', 'Biography']",Audiobook,2,Grand Central Publishing,[],62247,"['25326', '18924', '12021', '3813', '2163']",90.0,[],2017,Admiral William H. McRaven,4.7,14473,4.81
Man's Search for Meaning,,4.36,English,"['Nonfiction', 'Psychology', 'Philosophy', 'History', 'Memoir', 'Self Help', 'Biography', 'Classics', 'Holocaust', 'Spirituality']",Paperback,165,Beacon Press,[],400761,"['221757', '119918', '44536', '9508', '5042']",96.0,"['Auschwitz (Poland)', 'Dachau (Germany)']",2020,Viktor E. Frankl,4.7,23253,8.39
Midnight Sun,The Twilight Saga #5,3.82,English,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Vampires', 'Fiction', 'Paranormal Romance', 'Audiobook', 'Supernatural', 'Urban Fantasy']",Hardcover,662,"Little, Brown Books for Young Readers",[],63518,"['21441', '19389', '14908', '5668', '2112']",88.0,[],2020,Stephenie Meyer,4.8,53493,13.32
Milk and Honey,,4.07,English,"['Poetry', 'Feminism', 'Nonfiction', 'Contemporary', 'Adult', 'Romance', 'Audiobook', 'Mental Health', 'Canada', 'Womens']",Paperback,204,Createspace,[],345201,"['165425', '90427', '52615', '23027', '13707']",89.0,[],2016,Rupi Kaur,4.7,24058,8.69
Mindset: The New Psychology of Success,,4.06,English,"['Psychology', 'Nonfiction', 'Self Help', 'Business', 'Education', 'Personal Development', 'Parenting', 'Leadership', 'Teaching', 'Productivity']",Hardcover,276,Random House,[],88388,"['35986', '30322', '15675', '4450', '1955']",93.0,[],2013,Carol S. Dweck,4.6,7544,10.14
Miss Peregrine's Home for Peculiar Children,Miss Peregrine's Peculiar Children #1,3.91,English,"['Fantasy', 'Young Adult', 'Fiction', 'Paranormal', 'Mystery', 'Horror', 'Time Travel', 'Historical Fiction', 'Supernatural', 'Adventure']",Hardcover,352,Quirk,"[""Grand Prix de l'Imaginaire for Roman jeunesse étranger (2015)"", ""Pennsylvania Young Readers' Choice Award for Young Adults (2014)"", 'California Young Readers Medal Nominee for Young Adult (2016)', 'The Kitschies Nominee for Golden Tentacle (Debut) (2011)', 'Goodreads Choice Award Nominee for Favorite Book and for Young Adult Fantasy & Science Fiction (2011)']",977080,"['331709', '335251', '223102', '64434', '22584']",91.0,"['Englewood, Florida (United States)', 'Wales']",2011,Ransom Riggs,4.4,10925,14.16
Norse Mythology,,4.08,English,"['Fantasy', 'Mythology', 'Fiction', 'Audiobook', 'Short Stories', 'Classics', 'Adult', 'Historical Fiction', 'Retellings', 'Religion']",Paperback,301,W. W. Norton & Company,['Goodreads Choice Award Nominee for Fantasy (2017)'],214833,"['77206', '90549', '37767', '6564', '2747']",96.0,[],2017,Neil Gaiman,4.6,8355,20.23
Of Mice and Men,,3.88,English,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Read For School', 'Novels', 'High School', 'American', 'Classic Literature']",Paperback,103,Penguin Books,"[""New York Drama Critics' Circle Award for Best American Play (1938)""]",1942168,"['634457', '681382', '437709', '132901', '55719']",90.0,"['Salinas Valley, California (United States)', 'California (United States)']",2014,John Steinbeck,4.7,13001,0.35
"Oh, the Places You'll Go!",,4.35,English,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Young Adult', 'Inspirational', 'Kids', 'Humor']",Hardcover,44,Random House Books for Young Readers,[],328451,"['194372', '77411', '40683', '10548', '5437']",95.0,[],2015,Dr. Seuss,4.9,16856,8.98
One Thousand Gifts: A Dare to Live Fully Right Where You Are,,4.02,English,"['Christian', 'Nonfiction', 'Faith', 'Christian Living', 'Spirituality', 'Christianity', 'Inspirational', 'Self Help', 'Religion', 'Christian Non Fiction']",Hardcover,232,Zondervan,[],47547,"['21798', '12430', '7821', '3277', '2221']",88.0,[],2012,Ann Voskamp,4.6,3578,13.21
Orphan Train,,4.17,English,"['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Adult Fiction', 'Adult', 'Young Adult', 'Audiobook', 'Adoption', 'Contemporary']",Paperback,278,William Morrow Paperbacks,"['Lincoln Award Nominee (2016)', 'Maine Literary Award Nominee for Fiction (Finalist) (2014)', 'Goodreads Choice Award Nominee for Fiction (2013)', 'RT Reviewers Choice Award for Mainstream Fiction (2013)']",372839,"['145679', '159626', '56072', '8882', '2580']",97.0,['Maine (United States)'],2014,Christina Baker Kline,4.6,22582,11.78
Outliers: The Story of Success,,4.16,English,"['Nonfiction', 'Psychology', 'Business', 'Self Help', 'Sociology', 'Science', 'Audiobook', 'Personal Development', 'Economics', 'Leadership']",Hardcover,309,"Little, Brown and Company",[],556065,"['232206', '214572', '84952', '17317', '7018']",96.0,[],2012,Malcolm Gladwell,4.7,13528,7.79
Paper Towns,,3.8,English,"['Young Adult', 'Contemporary', 'Fiction', 'Romance', 'Mystery', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Adventure', 'Young Adult Contemporary']",Paperback,305,Speak,"[""Anthony Award Nominee for Best Children's/Young Adult Novel (2009)"", 'Edgar Award for Best Young Adult (2009)', 'Rhode Island Teen Book Award Nominee (2010)', 'Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2011)', 'The Inky Awards Nominee for Silver Inky (2009)', 'Lincoln Award Nominee (2011)', 'Bronzener Lufti (2010)', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (2010)', 'The Inky Awards Shortlist for Silver Inky (2009)', 'Missouri Gateway Readers Award Nominee (2011)', 'Corine Internationaler Buchpreis for Kinder- und Jugendbuch (2010)']",919337,"['280793', '302511', '232162', '77816', '26055']",89.0,"['Orlando, Florida (United States)', 'Agloe, New York (United States)']",2015,John Green,4.3,8374,0.35
Principles: Life and Work,,4.12,English,"['Business', 'Nonfiction', 'Self Help', 'Leadership', 'Finance', 'Personal Development', 'Philosophy', 'Biography', 'Management', 'Economics']",Audio CD,592,Simon Schuster Audio,[],32123,"['14288', '10448', '5045', '1575', '767']",93.0,[],2017,Ray Dalio,4.6,6555,11.5
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,,3.7,English,"['Nonfiction', 'Spirituality', 'Religion', 'Memoir', 'Biography', 'Science', 'Christian', 'Inspirational', 'Medical', 'Faith']",Paperback,196,Simon Schuster,[],52050,"['14777', '16365', '13662', '4876', '2370']",86.0,[],2013,Eben Alexander,4.3,14167,0.35
Quiet: The Power of Introverts in a World That Can't Stop Talking,Quiet,4.06,English,"['Nonfiction', 'Psychology', 'Self Help', 'Science', 'Business', 'Audiobook', 'Personal Development', 'Sociology', 'Leadership', 'Adult']",Hardcover,333,"Crown Publishing Group/Random House, Inc.","['Guardian First Book Award Nominee for Longlist (2012)', 'Andrew Carnegie Medal Nominee for Nonfiction (Shortlist) (2015)', 'Goodreads Choice Award for Nonfiction (2012)']",323829,"['126571', '119856', '55832', '14027', '7543']",93.0,[],2013,Susan Cain,4.6,12036,1.29
Rage,Courtney #6,4.09,English,"['Fiction', 'Historical Fiction', 'Adventure', 'Africa', 'Historical', 'Thriller', 'Action', 'South Africa', 'Novels', 'Adult']",Paperback,896,St. Martin's Paperbacks,[],4811,"['1789', '1876', '976', '136', '34']",96.0,[],2020,Bob Woodward,4.7,23281,12.0
Rework,,3.95,English,"['Business', 'Nonfiction', 'Entrepreneurship', 'Management', 'Productivity', 'Self Help', 'Leadership', 'Buisness', 'Personal Development', 'Technology']",Hardcover,279,Crown Business,['Goodreads Choice Award Nominee for Nonfiction (2010)'],138357,"['54533', '42801', '26650', '8766', '5607']",90.0,[],2010,Jason Fried,4.5,2667,21.78
Room,,4.06,English,"['Fiction', 'Contemporary', 'Adult', 'Adult Fiction', 'Book Club', 'Audiobook', 'Thriller', 'Drama', 'Realistic Fiction', 'Crime']",Kindle Edition,321,"Little, Brown and Company","['Booker Prize Nominee (2010)', 'Orange Prize Nominee for Fiction Shortlist (2011)', ""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2013)"", 'ALA Alex Award (2011)', 'Indies Choice Book Award for Fiction (2011)', 'Bord Gáis Energy Irish Book Award for Hughes & Hughes Irish Novel of the Year (2010)', 'Canadian Booksellers Association Libris Award for Fiction Book (2011)', 'Lincoln Award Nominee (2014)', 'Galaxy National Book Award for WHSmith Paperback of the Year (2011)', ""Commonwealth Writers' Prize for Best Book in Caribbean and Canada (2011)"", 'Trillium Book Award Nominee for English-language (2011)', 'UC Book of the Year (2014)', 'Eason Novel of the Year (2010)', ""Rogers Writers' Trust Fiction Prize (2010)"", 'OLA Evergreen Award (2011)', 'Goodreads Choice Award for Fiction (2010)', 'International Dublin Literary Award Nominee (2012)']",714395,"['270390', '275433', '121971', '32204', '14397']",93.0,[],2011,Emma Donoghue,4.4,7920,11.88
Safe Haven,,4.21,English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Adult Fiction', 'Contemporary Romance', 'Drama', 'Love', 'Audiobook']",Kindle Edition,353,Grand Central Publishing,['Goodreads Choice Award Nominee for Romance (2010)'],334532,"['157048', '109549', '53353', '10945', '3637']",96.0,"['Southport, North Carolina (United States)']",2010,Nicholas Sparks,4.7,8952,17.89
Sapiens: A Brief History of Humankind,,4.42,English,"['Nonfiction', 'History', 'Science', 'Philosophy', 'Anthropology', 'Audiobook', 'Sociology', 'Historical', 'Psychology', 'Evolution']",Paperback,498,Harvill Secker,"['Royal Society of Biology General Book Prize Nominee (2015)', 'J. A. Hollon palkinto (2017)']",502425,"['295807', '143811', '45188', '11210', '6409']",96.0,[],2019,Yuval Noah Harari,4.6,32903,9.42
Sarah's Key,,4.16,English,"['Historical Fiction', 'Fiction', 'Holocaust', 'Historical', 'World War II', 'France', 'War', 'Book Club', 'Adult', 'Adult Fiction']",Hardcover,294,St. Martins Press,[],419544,"['176239', '159657', '64355', '14599', '4694']",95.0,"['Paris (France)', 'Paris (France)']",2010,Tatiana de Rosnay,4.6,3951,10.48
Sh*t My Dad Says,Sh*t My Dad Says #1,3.98,English,"['Humor', 'Nonfiction', 'Memoir', 'Comedy', 'Biography', 'Audiobook', 'Adult', 'Family', 'Biography Memoir', 'Autobiography']",Hardcover,159,It Books,"['Goodreads Choice Award Nominee for Debut Author, Humor  (2010)']",142571,"['52444', '49395', '29940', '7672', '3120']",92.0,[],2010,Justin Halpern,4.7,1397,0.99
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,,4.3,English,"['Politics', 'Nonfiction', 'History', 'Audiobook', 'Political Science', 'American History', 'American', 'Social Science', 'Economics', 'Adult']",Audio CD,7,Simon & Schuster Audio,[],4439,"['2355', '1368', '499', '123', '94']",95.0,[],2018,Tucker Carlson,4.8,4940,16.9
Spoken from the Heart,,3.99,,"['Nonfiction', 'Memoir', 'Politics', 'Biography', 'Presidents', 'History', 'Biography Memoir', 'Autobiography', 'Contemporary', 'Adult']",Hardcover,464,Simon & Schuster Adult Publishing Group,['Goodreads Choice Award Nominee for Memoir and Autobiography (2010)'],7317,"['2459', '2832', '1600', '323', '103']",94.0,[],2010,Laura Bush,4.6,563,14.0
Start with Why: How Great Leaders Inspire Everyone to Take Action,,4.08,English,"['Business', 'Leadership', 'Nonfiction', 'Self Help', 'Personal Development', 'Management', 'Psychology', 'Audiobook', 'Entrepreneurship', 'Buisness']",Hardcover,256,Portfolio,[],121834,"['53330', '38633', '20037', '6360', '3474']",92.0,[],2017,Simon Sinek,4.6,11995,3.6
State of Wonder,,3.88,English,"['Fiction', 'Contemporary', 'Book Club', 'Literary Fiction', 'Adult Fiction', 'Adult', 'Mystery', 'Novels', 'Audiobook', 'Adventure']",Hardcover,353,HarperCollins Publishers,"['Orange Prize Nominee for Fiction Shortlist (2012)', 'Audie Award for Literary Fiction (2012)', 'Wellcome Book Prize Nominee for Shortlist (2011)', 'Goodreads Choice Award Nominee for Fiction and for Favorite Book (2011)']",164487,"['45221', '68455', '38699', '9518', '2594']",93.0,"['Amazon Rainforest', 'Minneapolis-St. Paul, Minnesota (United States)']",2011,Ann Patchett,4.1,2574,25.98
Switch: How to Change Things When Change Is Hard,,4.04,English,"['Nonfiction', 'Business', 'Psychology', 'Self Help', 'Leadership', 'Personal Development', 'Management', 'Productivity', 'Education', 'Audiobook']",Hardcover,305,Currency,[],42766,"['16036', '16190', '7671', '1878', '991']",93.0,[],2010,Chip Heath,4.6,2383,14.49
The 5 Love Languages: The Secret to Love that Lasts,5 Love Languages,4.25,English,"['Nonfiction', 'Self Help', 'Relationships', 'Psychology', 'Marriage', 'Christian', 'Personal Development', 'Audiobook', 'Love', 'Christianity']",Kindle Edition,209,Northfield Publishing,['Audie Award for Personal Development/Motivational (2006)'],297637,"['148253', '93589', '41488', '9671', '4636']",95.0,[],2015,Gary Chapman,4.8,37833,1.5
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,,4.12,English,"['Self Help', 'Nonfiction', 'Business', 'Personal Development', 'Psychology', 'Leadership', 'Productivity', 'Management', 'Audiobook', 'Philosophy']",Paperback,372,Free Press,[],524128,"['236705', '164544', '85282', '24020', '13577']",93.0,[],2011,Stephen R. Covey,4.6,10715,33.77
The Alchemist,,3.57,English,"['Plays', 'Drama', 'Classics', 'Fiction', '17th Century', 'School', 'Theatre', 'Literature', 'Comedy', 'British Literature']",Paperback,256,Book Jungle,[],2966,"['656', '938', '928', '331', '113']",85.0,[],2013,Paulo Coelho,4.7,41984,37.9
The Best of Me,,3.94,English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Audiobook', 'Adult Fiction', 'Contemporary Romance', 'Drama', 'Love']",Hardcover,292,Grand Central Publishing,[],144478,"['52184', '47027', '32392', '9975', '2900']",91.0,"['Oriental, North Carolina (United States)', 'Oriental, North Carolina (United States)']",2011,Nicholas Sparks,4.6,6112,20.46
The Big Short: Inside the Doomsday Machine,Liar's Poker #2,4.29,,"['Nonfiction', 'Business', 'Economics', 'Finance', 'History', 'Politics', 'Audiobook', 'Money', 'Journalism', 'Contemporary']",Paperback,320,W. W. Norton Company,"['Los Angeles Times Book Prize for Current Interest (2010)', 'Financial Times and McKinsey Business Book of the Year Nominee for Shortlist (2010)', 'Robert F. Kennedy Book Award (2011)', 'Goodreads Choice Award Nominee for Nonfiction (2010)']",132918,"['63648', '49951', '15062', '2844', '1413']",97.0,[],2010,Michael Lewis,4.7,3943,18.75
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",,4.47,English,"['Psychology', 'Nonfiction', 'Self Help', 'Mental Health', 'Health', 'Science', 'Social Work', 'Counselling', 'Audiobook', 'Medicine']",Hardcover,443,Viking,[],38770,"['24561', '9957', '2802', '829', '621']",96.0,[],2019,Bessel van der Kolk M.D.,4.8,19872,12.71
The Book Thief,,4.37,English,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'Holocaust', 'World War II', 'Books About Books', 'Audiobook']",Hardcover,552,Alfred A. Knopf,"['National Jewish Book Award for Children’s and Young Adult Literature (2006)', ""Book Sense Book of the Year Award for Children's Literature (2007)"", 'Buxtehuder Bulle (2008)', 'Sydney Taylor Book Award for Teen Readers (2007)', 'Prijs van de Kinder- en Jeugdjury Vlaanderen (2009)', 'Michael L. Printz Award Nominee (2007)', 'Exclusive Books Boeke Prize (2007)', 'Rhode Island Teen Book Award Nominee (2008)', 'The Quill Award Nominee for Young Adult/Teen (2006)', 'Zilveren Zoen (2008)', 'Teen Read Award Nominee for Best All-Time-Fave (2010)', 'Deutscher Jugendliteraturpreis for Preis der Jugendjury (2009)', 'Association of Jewish Libraries for Teen Book Award (2006)', 'Lincoln Award Nominee (2010)', 'Australian Book Industry Award (ABIA) Nominee for Literary Fiction (2008)', 'Kathleen Mitchell Award', 'Ena Noel Award (2008)', 'Literaturpreis der Jury der jungen Leser for Jugendbuch (2009)', 'LovelyBooks Leserpreis for Allgemeine Literatur (2009)', 'Margaret A. Edwards Award (2014)']",1834276,"['1048230', '524674', '186297', '48864', '26211']",96.0,"['Molching (Germany)', 'Germany']",2010,Markus Zusak,4.6,25974,0.35
The Book with No Pictures,,4.35,English,"['Picture Books', 'Childrens', 'Humor', 'Storytime', 'Fiction', 'Juvenile', 'Kids', 'Audiobook', 'Comedy', '2nd Grade']",Hardcover,48,Dial Books,"['California Young Readers Medal for Primary (2018)', 'Vlag en Wimpel Griffeljury (2016)', 'Goodreads Choice Award Nominee for Picture Books (2014)', 'The Magnolia Award for K-2 (2017)', 'CLEL Bell Picture Book Awards Nominee for Read (2015)']",22201,"['12972', '5766', '2264', '701', '498']",95.0,[],2015,B. J. Novak,4.8,10378,1.05
